sg nom,sg gen,sg part,sg ill,pl nom,pl gen,pl part,pl ill,pl ine,kommentaar
tuttavõ,tuttava,tuttava,tuttavasõ,tuttavõd,tuttavijõ,tuttaviit,tuttaviisõ,tuttaviiz,
tuuli,tuulõ,tuultõ,tuulõsõ,tuulõd,tuulijõ,tuuliit,tuuliisõ,tuuliiz,
tõin,tõizõ,tõissõ,tõizõsõ,tõizõd,tõisijõ,tõisiit,tõisiisõ,tõisiiz,
tämä,tämä,tätä,tämäse,nämäd,näjje,näit,näise,näiz,ühtlustada näije
täti,tädi,tättiä,tättise,tädid,tätije,tätiit,tätiise,tätiiz,
tühjõ,tühjä,tühjä,tühjäse,tühjod,tühjije,tühjiit,tühjiise,tühjiiz,
tükku,tükü,tükküä,tükküse,tüküd,tükküje,tükküit,tükküise,tükküiz,
tünko,tüngä,tünka,tünkäse,tünged,tünkije,tünkiit,tünkiise,tünkiiz,
tüttö,tütö,tüttöä,tüttöse,tütöd,tüttöje,tüttöit,tüttöise,tüttöiz,
tütär,tüttäre,tütärte,tüttärese,tüttäred,tüttärije,tüttäriit,tüttäriise,tüttäriiz,
tüü,tüü,tüüte,tühese,tüüd,tüije,tüit,tüise,tüiz,
ugurittsõ,uguritsa,ugurittsa,ugurittsasõ,uguritsad,ugurittsojõ,ugurittsoit,ugurittsoisõ,ugurittsoiz,
uhsi,uhzõ,ussõ,uhsõsõ,uhzõd,uhsijõ,uhsiit,uhsiise,uhsiiz,
ukrainalain,ukrainalaize,ukrainalaissõ,ukrainalaissõ,ukrainalaizõd,ukrainalaisijõ,ukrainalaisiit,ukrainalaisiisõ,ukrainalaisiiz,
ukroppi,ukropi,ukroppia,ukroppisõ,ukropid,ukroppijõ,ukroppiit,ukroppiisõ,ukroppiiz,
uni,unõ,untõ,unõsõ,unõd,unijõ,uniit,uniisõ,uniiz,
urokkõ,uroka,urokka,urokkasõ,urokõd,urokkojõ,urokkoit,urokkoisõ,urokkoiz,
usa,uza,ussa,ussasõ,uzad,usijõ,usiit,usiisõ,usiiz,
usko,uzgo,uskoa,uskosõ,uzgod,uskojõ,uskoit,uskoisõ,uskoiz,
uusi,uuvvõ,uuttõ,uuvvõsõ,uuvvõd,uusiijõ,uusiit,uusiisõ,uusiiz,
uutin,uutizõ,uutissõ,uutizõsõ,uutizõd,uutizijõ,uutiziit,uutiziisõ,uutiziiz,
vaahto,vaaho,vaahtoa,vaahtosõ,vaahod,vaahtojõ,vaahtoit,vaahtoisõ,vaahtoiz,
vaahtõr,vaahtõra,vaahtõra,vaahtõrasõ,vaahtõrõd,vaahtõrojõ,vaahtõroit,vaahtõroisõ,vaahtõroiz,
vagzõli,vagzõli,vagzõlia,vagzõlisõ,vagzõlid,vagzõlijõ,vagzõliit,vagzõliisõ,vagzõliiz,
vahti,vahi,vahtia,vahtisõ,vahid,vahtijõ,vahtiit,vahtiisõ,vahtiiz,
vahõ,vahõ,vahõttõ,vahõsõ,vahõd,vahijõ,vahiit,vahiisõ,vahiiz,nagu jumõ
vaka,vaga,vakat,vakasõ,vagad,vakajõ,vakait,vakaisõ,vakaiz,
vakkõ,vaka,vakka,vakkasõ,vakad,vakkojõ,vakkoit,vakkoisõ,vakkoiz,
vako,vago,vakkoa,vakkosõ,vagod,vakojõ,vakoit,vakoisõ,vakoiz,
valka,valka,valkatõ,valkasõ,valkad,valkojõ,valkoit,valkoisõ,valkoiz,
vana,vana,vana,vanasõ,vanad,vanojõ,vanoit,vanoisõ,vanoiz,
vari,vari,varia,varisõ,varid,varijõ,variit,variisõ,variiz,
varjo,varjo,varjoa,varjosõ,varjod,varjojõ,varjoit,varjoisõ,varjoiz,
varsi,varrõ,varttõ,vartõsõ,varrõd,varsijõ,varsiit,varsiisõ,varsiiz,
varvõz,varpa,varvõssõ,varpasõ,varpad,varpajõ,varpait,varpaisõ,varpaiz,
varõz,varõsõ,varõssõ,varõssõ,varõsõd,varõssijõ,varõssiit,varõssiisõ,varõssiiz,
vattsõ,vatsa,vattsa,vattsasõ,vatsad,vattsojõ,vattsoit,vattsoisõ,vattsoiz,
vello,vello,velloa,vellosõ,vellod,vellojõ,velloit,velloisõ,velloiz,
velosipedõ,velosipeda,velosipeda,velosipedasõ,velosipedad,velosipedijõ,velosipediit,velosipediisõ,velosipediiz,
vene,vene,venette,venese,vened,veneje,veneit,veneise,veneiz,
venäläin,venäläize,venäläisse,venäläisse,venäläized,venäläisije,venäläisiit,venäläisiise,venäläisiiz,
veri,vere,verte,verese,vered,verije,veriit,veriise,veriiz,
vesi,vee,vette,vettese,veed,vesije,vesiit,vesiise,vesiiz,
vetelüz,vetelüse,vetelüsse,vetelüsse,vetelüsed,vetelüssije,vetelüssiit,vetelüssiise,vetelüssiiz,
veto,veo,vettoa,vettosõ,veod,vetojõ,vetoit,vetoisõ,vetoiz,
vihko,vihgo,vihkoa,vihkosõ,vihgod,vihkojõ,vihkoit,vihkoisõ,vihkoiz,
vihmõ,vihma,vihma,vihmasõ,vihmõd,vihmojõ,vihmoit,vihmoisõ,vihmoiz,
vihtõ,viha,vihta,vihtasõ,vihad,vihtojõ,vihtoit,vihtoisõ,vihtoiz,
vikahtõ,vikahtõ,vikahta,vikahtasõ,vikahtõd,vikahtojõ,vikahtoit,vikahtoisõ,vikahtoiz,
viki,viki,vikkiä,vikkise,vikid,vikkije,vikkiit,vikkiise,vikkiiz,
viks,viksa,viksa,viksase,viksõd,viksojõ,viksoit,viksoisõ,viksoiz,
vilkõ,vilga,vilka,vilkasõ,vilgõd,vilkojõ,vilkoit,vilkoisõ,vilkoiz,
villõ,villa,villa,villase,villõd,villojõ,villoit,villoisõ,villoiz,
vilppi,vilpi,vilppiä,vilppise,vilpid,vilppije,vilppiit,vilppiise,vilppiiz,
vilu,vilu,vilua,vilusõ,vilud,vilujõ,viluit,viluisõ,viluiz,
vimpõ,vimma,vimpa,vimpasõ,vimmõd,vimpijõ,vimpiit,vimpiisõ,vimpiiz,
vinku,vingu,vinkua,vinkusõ,vingud,vinkujõ,vinkuit,vinkuisõ,vinkuiz,
vinkuri,vinkuri,vinkuria,vinkurisõ,vinkurid,vinkurijõ,vinkuriit,vinkuriisõ,vinkuriiz,
vinkõ,vinga,vinka,vinkasõ,vingõd,vinkojõ,vinkoit,vinkoisõ,vinkoiz,
vipu,vivu,vippua,vippusõ,vivud,vipujõ,vipuit,vipuisõ,vipuiz,
viro,viro,viroa,virosõ,virod,virojõ,viroit,viroisõ,viroiz,
virolain,virolaize,virolaissõ,virolaissõ,virolaizõd,virolaisijõ,virolaisiit,virolaisiisõ,virolaisiiz,
vohmõ,vohma,vohma,vohmasõ,vohmõd,vohmijõ,vohmiit,vohmiisõ,vohmiiz,
vokki,voki,vokkia,vokkisõ,vokid,vokkijõ,vokkiit,vokkiisõ,vokkiiz,
voolõ,voola,voola,voolasõ,voolõd,voolijõ,vooliit,vooliisõ,vooliiz,
vooro,vooro,vooroa,voorosõ,voorod,voorojõ,vooroit,vooroisõ,vooroiz,
voosi,vovvõ,voottõ,vootõ,vovvõd,voosijõ,voosiit,voosiisõ,voosiiz,
voosin,voosizõ,voosissõ,voosizõsõ,voosizõd,voosizijõ,voosiziit,voosiziisõ,voosiziiz,
vunukkõ,vunuka,vunukka,vunukkasõ,vunukõd,vunukkojõ,vunukkoit,vunukkoisõ,vunukkoiz,
või,või,võitõ,võisõ,võid,võije,võit,võisõ,võiz,
võimõ,võima,võima,võimasõ,võimõd,võimijõ,võimiit,võimiisõ,võimiiz,
võlkõ,võlga,võlka,võlkasõ,võlgõd,võlkojõ,võlkoit,võlkoisõ,võlkoiz,
võrkko,võrko,võrkkoa,võrkkosõ,võrkod,võrkkojõ,võrkkoit,võrkkoisõ,võrkkoiz,
võõrõz,võõra,võõrassõ,võõrasõ,võõrad,võõrajõ,võõrait,võõraisõ,võõraiz,
väči,väe,väččiä,väččese,väed,väččije,väččiit,väččiise,väččiiz,
väli,väli,väliä,välise,välid,välije,väliit,väliise,väliiz,
vääri,vääri,vääriä,väärise,väärid,väärije,vääriit,vääriise,vääriiz,
vüü,vüü,vüüt,vühese,vüüd,vüije,vüit,vüise,vüiz,
õgaz,õkka,õgassõ,õkkasõ,õkkad,õkkajõ,õkkaid,õkkaid,õkkaid,
õhsõ,õhza,õhsa,õhsasõ,õhzõd,õhsijõ,õhsiit,õhsiisõ,õhsiiz,
õhtõgo,õhtõgo,õhtõgoa,õhtõgosõ,õhtõgod,õhtõgojõ,õhtõgoit,õhtõgoisõ,õhtõgoiz,
õhtõgoin,õhtõgoizõ,õhtõgoiss,õhtõgoizõsõ,õhtõgoizõd,õhtõgoisijõ,õhtõgoisiit,õhtõgoisiisõ,õhtõgoisiiz,
õja,õja,õja,õjasõ,õjad,õjijõ,õjit,õjisõ,õjiz,
õma,õma,õmma,õmmasõ,õmõd,õmmijõ,õmmiit,õmmiisõ,õmmiiz,
